City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,chonchi,-42.6128,-73.8092,9.56,97,20,1.45,CL,1698285702
136,sorso,40.8,8.5772,17.27,82,68,3.95,IT,1698285710
137,saint-paul,-21.0096,55.2707,24.06,86,4,1.34,RE,1698285711
138,afaahiti,-17.75,-149.2833,26.93,76,71,3.52,PF,1698285711
139,qaqortoq,60.7167,-46.0333,0.77,69,94,3.24,GL,1698285711
140,andovoranto,-18.95,49.1,23.89,92,96,2.87,MG,1698285712
141,minas de marcona,-15.2119,-75.1103,14.48,84,97,4.55,PE,1698285712
142,lensk,60.7253,114.9278,-1.39,71,93,3.2,RU,1698285712
143,hailey,43.5196,-114.3153,4.33,81,100,3.09,US,1698285712
144,ghat,24.9647,10.1728,25.62,20,93,1.95,LY,1698285713
145,hawaiian paradise park,19.5933,-154.9731,26.69,85,51,0.45,US,1698285713
146,tiksi,71.6872,128.8694,-10.33,92,100,1.86,RU,1698285713
147,aasiaat,68.7098,-52.8699,-11.43,83,100,3.53,GL,1698285713
148,nova sintra,14.8667,-24.7167,24.68,72,100,4.75,CV,1698285714
149,forster,-32.1667,152.5167,14.6,97,100,8.08,AU,1698285714
150,tongchuan,35.0806,109.0897,18.4,27,91,2.27,CN,1698285714
151,shubarshi,48.5872,57.1869,-1.72,72,13,4.36,KZ,1698285714
152,lebork,54.5392,17.7501,8.29,99,100,3.31,PL,1698285715
153,sungailiat,-1.85,106.1333,30.13,64,52,5.14,ID,1698285715
154,keflavik,64.0049,-22.5624,7.24,81,40,4.12,IS,1698285715
155,kirkuk,35.4681,44.3922,19.68,56,5,0.88,IQ,1698285715
156,northam,51.0333,-4.2167,12.92,95,84,7.07,GB,1698285715
157,mont-joli,48.5839,-68.1921,7.72,100,100,2.57,CA,1698285716
158,elliot lake,46.3834,-82.6331,12.06,95,100,1.62,CA,1698285438
159,cannonvale,-20.2833,148.7,25.66,58,5,3.91,AU,1698285716
160,guerrero negro,27.9769,-114.0611,18.95,75,0,7.26,MX,1698285552
161,port elizabeth,-33.918,25.5701,15.16,92,0,2.57,ZA,1698285716
162,remire-montjoly,4.9167,-52.2667,27.02,83,0,1.54,GF,1698285717
163,quang ngai,15.1167,108.8,28.05,79,61,1.46,VN,1698285713
164,bamboo flat,11.7,92.7167,25.05,100,40,0.51,IN,1698285717
165,taltal,-25.4,-70.4833,16.51,75,2,0.76,CL,1698285717
166,talnakh,69.4865,88.3972,-9.33,96,100,0.45,RU,1698285717
167,chui,-33.6971,-53.4616,10.6,92,2,2.9,UY,1698285718
168,mariental,-24.6333,17.9667,23.57,17,1,2.51,NA,1698285718
169,inverloch,-38.6333,145.7167,12.14,63,100,7.24,AU,1698285718
170,troy,42.6056,-83.1499,17.04,94,100,0.0,US,1698285604
171,cabo san lucas,22.8909,-109.9124,26.4,61,22,0.89,MX,1698285602
172,port alfred,-33.5906,26.891,15.1,91,100,0.89,ZA,1698285719
173,kalaleh,37.3807,55.4916,18.19,57,0,1.61,IR,1698285719
174,terrace,54.5163,-128.6035,2.95,38,20,8.75,CA,1698285719
175,aykhal,66.0,111.5,-12.49,98,100,3.39,RU,1698285719
176,kudahuvadhoo,2.6708,72.8944,27.91,76,76,5.41,MV,1698285720
177,carnarvon,-24.8667,113.6333,22.98,62,0,7.91,AU,1698285721
178,enewetak,11.3474,162.3373,28.79,77,75,4.98,MH,1698285721
179,fort mcmurray,56.7268,-111.381,-3.23,46,75,3.09,CA,1698285721
180,puerto baquerizo moreno,-0.9,-89.6,23.17,85,99,5.1,EC,1698285722
181,savannakhet,16.566,104.751,24.01,94,40,1.03,LA,1698285722
182,ponta delgada,37.7333,-25.6667,19.4,82,75,2.57,PT,1698285618
183,kibre mengist,5.8833,38.9833,14.11,96,89,0.71,ET,1698285722
184,turpan,42.9333,89.1667,17.54,33,0,0.86,CN,1698285723
185,utrik,11.2278,169.8474,27.58,73,91,4.01,MH,1698285723
186,sillod,20.3,75.65,21.54,44,6,0.2,IN,1698285724
187,as sulayyil,20.4607,45.5779,22.14,82,14,3.28,SA,1698285724
188,naze,28.3667,129.4833,24.51,54,81,3.98,JP,1698285724
189,cavelossim,15.1726,73.9419,24.67,61,45,2.65,IN,1698285724
190,jamestown,42.097,-79.2353,19.29,48,75,3.6,US,1698285649
191,kodinsk,58.6881,99.1844,0.24,98,100,2.79,RU,1698285552
192,muroto-misakicho,33.2833,134.15,20.29,61,0,1.16,JP,1698285725
193,bandon,51.7469,-8.7425,10.77,95,2,3.51,IE,1698285725
194,broome,42.2506,-75.833,15.11,82,96,0.45,US,1698285725
195,lubbock,33.6001,-101.8338,20.14,52,20,4.63,US,1698285468
196,st. john's,47.5649,-52.7093,9.66,91,100,5.14,CA,1698285600
197,youkounkoun,12.5333,-13.1333,24.55,85,58,2.0,GN,1698285726
198,port lincoln,-34.7333,135.8667,14.76,49,8,5.29,AU,1698285726
199,sisimiut,66.9395,-53.6735,-3.19,62,100,5.63,GL,1698285727
200,dwarka,22.2394,68.9678,26.78,73,0,1.57,IN,1698285727
201,amga,60.8953,131.9608,-3.8,89,100,1.8,RU,1698285727
202,jishu,44.3167,126.8,7.58,23,1,3.38,CN,1698285728
203,invercargill,-46.4,168.35,10.01,65,99,9.83,NZ,1698285725
204,madalena,41.2162,-8.3345,19.86,95,100,7.19,PT,1698285728
205,nar'yan-mar,67.6713,53.087,-3.83,87,100,3.58,RU,1698285729
206,kerema,-7.9631,145.7785,27.14,75,100,3.54,PG,1698285729
207,codrington,-38.2667,141.9667,12.87,60,100,6.99,AU,1698285729
208,belmonte,-15.8631,-38.8828,25.73,86,85,6.44,BR,1698285729
209,acapulco de juarez,16.8634,-99.8901,24.83,93,98,1.57,MX,1698285615
210,weno,7.4515,151.8468,27.97,94,100,5.14,FM,1698285730
211,portland,45.5234,-122.6762,8.33,93,100,1.54,US,1698285446
212,alice springs,-23.7,133.8833,20.75,16,0,10.29,AU,1698285478
213,urucui,-7.2294,-44.5561,25.44,67,1,0.66,BR,1698285730
214,ad dabbah,18.05,30.95,27.71,30,0,2.9,SD,1698285731
215,buta,2.7858,24.73,20.8,100,100,0.49,CD,1698285731
216,naracoorte,-36.9579,140.7383,17.06,37,42,6.86,AU,1698285731
217,vengerovo,55.6848,76.7471,8.17,81,100,8.71,RU,1698285732
218,nachingwea,-10.3833,38.7667,22.71,89,63,1.5,TZ,1698285732
219,paphos,34.7667,32.4167,19.88,52,94,2.06,CY,1698285732
220,thunder bay,48.4001,-89.3168,5.99,75,100,1.03,CA,1698285732
221,cronulla,-34.05,151.15,16.26,59,75,10.29,AU,1698285625
222,hilo,19.7297,-155.09,26.81,88,40,0.45,US,1698285714
223,ciudad lazaro cardenas,17.9583,-102.2,26.19,85,100,0.67,MX,1698285536
224,tangalle,6.024,80.7911,23.09,84,89,2.34,LK,1698285734
225,kerikeri,-35.2268,173.9474,22.32,53,6,5.54,NZ,1698285734
226,papatowai,-46.5619,169.4708,8.21,85,100,5.97,NZ,1698285734
227,corinto,37.9407,22.9573,21.76,58,100,1.13,GR,1698285513
228,saint-benoit,-21.038,55.7194,24.06,83,22,4.17,RE,1698285735
229,gumdag,39.2061,54.5906,16.88,78,55,3.67,TM,1698285735
230,yaren,-0.5472,166.916,29.15,71,6,3.53,NR,1698285735
231,mubi,10.2676,13.2644,22.37,32,100,0.97,NG,1698285735
232,bambanglipuro,-7.95,110.2833,29.37,64,38,4.54,ID,1698285736
233,mlangali,-9.7833,34.5167,15.55,88,28,2.75,TZ,1698285736
234,taoudenni,22.6783,-3.9836,29.82,23,77,4.61,ML,1698285736
235,saint-philippe,-21.3585,55.7679,23.77,79,4,3.37,RE,1698285737
236,piti village,13.4626,144.6933,31.28,76,100,2.47,GU,1698285737
237,dobryanka,58.4619,56.4165,-3.4,79,99,4.65,RU,1698285737
238,fernley,39.608,-119.2518,9.67,65,59,0.89,US,1698285737
239,fukuchiyama,35.3,135.1167,15.92,49,0,1.01,JP,1698285738
240,rutana,-3.8667,30.1,14.28,82,88,1.06,BI,1698285738
241,hamilton,39.1834,-84.5333,20.55,75,95,2.68,US,1698285698
242,dunedin,-45.8742,170.5036,11.56,80,100,2.24,NZ,1698285643
243,aljezur,37.3191,-8.8033,19.25,97,69,3.23,PT,1698285739
244,nazret,8.55,39.2667,18.1,72,87,1.76,ET,1698285739
245,whitehorse,60.7161,-135.0538,-0.57,64,75,4.12,CA,1698285739
246,bonny,4.4522,7.1681,25.16,88,100,2.55,NG,1698285740
247,palmer,42.1584,-72.3287,17.5,68,100,3.6,US,1698285597
248,mili,6.0815,171.735,28.89,74,28,3.9,MH,1698285740
249,tura,25.5198,90.2201,22.0,87,0,0.21,IN,1698285740
250,saipan,15.1355,145.701,28.53,79,32,4.41,MP,1698285741
251,hovd,48.0056,91.6419,5.88,25,95,2.37,MN,1698285741
252,zolotonosha,49.6689,32.0377,12.01,97,99,3.51,UA,1698285741
253,pacific grove,36.6177,-121.9166,17.23,82,95,4.02,US,1698285741
254,bubaque,11.2833,-15.8333,28.52,77,100,5.8,GW,1698285742
255,kone,-21.0595,164.8658,24.62,79,99,2.21,NC,1698285742
256,cidreira,-30.1811,-50.2056,15.53,81,40,3.98,BR,1698285742
257,canarana,-11.6847,-41.7689,27.53,40,100,0.02,BR,1698285742
258,ad darb,17.7229,42.2526,30.25,59,90,2.16,SA,1698285743
259,ugoofaaru,5.6667,73.0,28.14,74,46,3.29,MV,1698285743
260,mount isa,-20.7333,139.5,27.87,13,0,7.2,AU,1698285651
261,kalmunai,7.4167,81.8167,26.46,80,19,1.0,LK,1698285744
262,nuku'alofa,-21.1333,-175.2,24.19,64,75,7.72,TO,1698285745
263,kuta,-8.7233,115.1723,28.97,88,20,3.6,ID,1698285745
264,kandyagash,49.4744,57.4233,-3.07,74,7,4.93,KZ,1698285745
265,sevastopol,44.6,33.5333,18.89,55,100,1.79,UA,1698285745
266,san,13.3034,-4.8956,28.31,14,100,3.26,ML,1698285665
267,santa maria,-29.6842,-53.8069,14.61,94,0,1.03,BR,1698285700
268,umarkot,25.3616,69.7362,25.69,57,0,2.69,PK,1698285746
269,rabaul,-4.1967,152.1721,27.08,77,100,1.35,PG,1698285746
270,san patricio,28.017,-97.5169,27.92,80,39,6.53,US,1698285746
271,acarau,-2.8856,-40.12,25.37,79,2,6.13,BR,1698285747
272,kristiansund,63.1115,7.732,5.36,65,47,2.57,NO,1698285747
273,kununurra,-15.7667,128.7333,33.99,21,56,5.66,AU,1698285748
274,kupang,-10.1667,123.5833,31.32,66,20,4.12,ID,1698285676
275,wailua homesteads,22.0669,-159.378,26.18,77,90,1.34,US,1698285749
276,lata,40.1629,-8.3327,19.49,93,100,4.28,PT,1698285749
277,steyerberg,52.5667,9.0333,11.21,95,100,4.48,DE,1698285749
278,ulladulla,-35.35,150.4667,18.76,42,3,6.86,AU,1698285750
279,dili,-8.5586,125.5736,29.66,54,4,2.89,TL,1698285750
280,'ain benian,36.8028,2.9219,18.03,67,44,4.89,DZ,1698285750
281,meadow lakes,61.6247,-149.6011,2.93,67,0,0.0,US,1698285750
282,la passe,45.5549,-0.8967,17.13,86,100,7.16,FR,1698285751
283,ocean city,39.2776,-74.5746,18.32,79,95,2.68,US,1698285613
284,sansanne-mango,10.3592,0.4708,25.26,66,91,1.94,TG,1698285751
285,trairi,-3.2778,-39.2689,24.79,82,3,3.73,BR,1698285549
286,nova vicosa,-17.8919,-39.3719,25.74,85,100,4.13,BR,1698285752
287,matoury,4.8483,-52.3317,26.98,83,0,1.54,GF,1698285752
288,kapuskasing,49.4169,-82.4331,2.05,100,100,1.03,CA,1698285714
289,oban,56.4127,-5.4706,9.65,82,100,4.14,GB,1698285693
290,basciftlik,40.5469,37.1692,12.75,50,100,3.06,TR,1698285752
291,daru,-9.0763,143.2092,28.61,60,91,3.67,PG,1698285753
292,hasaki,35.7333,140.8333,20.22,53,0,5.57,JP,1698285753
293,guelmim,28.987,-10.0574,16.43,85,0,1.14,MA,1698285753
294,aioun,16.6614,-9.6149,30.45,14,2,3.79,MR,1698285753
295,morondava,-20.2833,44.2833,26.53,70,99,1.16,MG,1698285754
296,kayenta,36.7278,-110.2546,14.57,28,0,4.61,US,1698285754
297,margate,51.3813,1.3862,14.39,90,93,1.79,GB,1698285754
298,katsuren-haebaru,26.3369,127.8719,26.43,63,75,4.63,JP,1698285754
299,shimokizukuri,40.8061,140.3861,19.5,69,0,1.74,JP,1698285755
300,zhanaozen,43.3,52.8,7.9,74,100,3.48,KZ,1698285755
301,atkarsk,51.8718,45.0078,-3.01,68,100,2.68,RU,1698285755
